Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,United States of America,Avocados,1987,34840.0,A,Official figure,54420.0,189600.0
Crops and livestock products,United States of America,Avocados,1988,34960.0,A,Official figure,50086.0,175100.0
Crops and livestock products,United States of America,Avocados,1989,34760.0,A,Official figure,36277.0,126100.0
Crops and livestock products,United States of America,Avocados,1990,33790.0,A,Official figure,41876.0,141500.0
Crops and livestock products,United States of America,Avocados,1991,33350.0,A,Official figure,50315.0,167800.0
Crops and livestock products,United States of America,Avocados,1992,32990.0,A,Official figure,80186.0,264535.0
Crops and livestock products,United States of America,Avocados,1993,29520.0,A,Official figure,44161.0,130362.0
Crops and livestock products,United States of America,Avocados,1994,27200.0,A,Official figure,58364.0,158750.0
Crops and livestock products,United States of America,Avocados,1995,27160.0,A,Official figure,63461.0,172360.0
Crops and livestock products,United States of America,Avocados,1996,26630.0,A,Official figure,64964.0,173000.0
Crops and livestock products,United States of America,Avocados,1997,26730.0,A,Official figure,60333.0,161270.0
Crops and livestock products,United States of America,Avocados,1998,26560.0,A,Official figure,54405.0,144500.0
Crops and livestock products,United States of America,Avocados,1999,26358.0,A,Official figure,63088.0,166288.0
Crops and livestock products,United States of America,Avocados,2000,26395.0,A,Official figure,82247.0,217091.0
Crops and livestock products,United States of America,Avocados,2001,26155.0,A,Official figure,77450.0,202570.0
Crops and livestock products,United States of America,Avocados,2002,26568.0,A,Official figure,68087.0,180894.0
Crops and livestock products,United States of America,Avocados,2003,27074.0,A,Official figure,78207.0,211737.0
Crops and livestock products,United States of America,Avocados,2004,27790.0,A,Official figure,58564.0,162749.0
Crops and livestock products,United States of America,Avocados,2005,27357.0,A,Official figure,103595.0,283405.0
Crops and livestock products,United States of America,Avocados,2006,29070.0,A,Official figure,84967.0,247000.0
Crops and livestock products,United States of America,Avocados,2007,29684.0,A,Official figure,65052.0,193100.0
Crops and livestock products,United States of America,Avocados,2008,29473.0,A,Official figure,35704.0,105230.0
Crops and livestock products,United States of America,Avocados,2009,26819.0,A,Official figure,100978.0,270813.0
Crops and livestock products,United States of America,Avocados,2010,24253.0,A,Official figure,65208.0,158150.0
Crops and livestock products,United States of America,Avocados,2011,24261.0,A,Official figure,84676.0,205432.0
Crops and livestock products,United States of America,Avocados,2013,24767.0,A,Official figure,67067.0,166106.0
Crops and livestock products,United States of America,Avocados,2014,23876.0,A,Official figure,75023.0,179124.0
Crops and livestock products,United States of America,Avocados,2015,23990.0,A,Official figure,86599.0,207750.0
Crops and livestock products,United States of America,Avocados,2016,23350.0,A,Official figure,53635.0,125237.0
Crops and livestock products,United States of America,Avocados,2017,23530.0,A,Official figure,72359.0,170260.0
Crops and livestock products,United States of America,Avocados,2018,21710.0,A,Official figure,77628.0,168530.0
Crops and livestock products,United States of America,Avocados,2019,21416.0,A,Official figure,57279.0,122669.56
Crops and livestock products,United States of America,Avocados,2020,21335.0,A,Official figure,87852.0,187433.49
Crops and livestock products,United States of America,Avocados,2021,20979.0,A,Official figure,65184.0,136750.0
Crops and livestock products,United States of America,Avocados,2022,20935.0,A,Official figure,67991.0,142340.0
Crops and livestock products,United States of America,Bananas,1980,230.0,A,Official figure,90870.0,2090.0
Crops and livestock products,United States of America,Bananas,1981,260.0,A,Official figure,104615.0,2720.0
Crops and livestock products,United States of America,Bananas,1982,290.0,A,Official figure,90690.0,2630.0
Crops and livestock products,United States of America,Bananas,1983,350.0,A,Official figure,58286.0,2040.0
Crops and livestock products,United States of America,Bananas,1984,350.0,A,Official figure,115429.0,4040.0
Crops and livestock products,United States of America,Bananas,1985,340.0,A,Official figure,108824.0,3700.0
Crops and livestock products,United States of America,Bananas,1986,397.0,A,Official figure,110831.0,4400.0
Crops and livestock products,United States of America,Bananas,1987,433.0,A,Official figure,119400.0,5170.0
Crops and livestock products,United States of America,Bananas,1988,433.0,A,Official figure,138568.0,6000.0
Crops and livestock products,United States of America,Bananas,1989,405.0,A,Official figure,134321.0,5440.0
Crops and livestock products,United States of America,Bananas,1990,360.0,A,Official figure,142389.0,5126.0
Crops and livestock products,United States of America,Bananas,1991,360.0,A,Official figure,143639.0,5171.0
Crops and livestock products,United States of America,Bananas,1992,352.0,A,Official figure,154545.0,5440.0
Crops and livestock products,United States of America,Bananas,1993,336.0,A,Official figure,159226.0,5350.0
Crops and livestock products,United States of America,Bananas,1994,356.0,A,Official figure,175843.0,6260.0
Crops and livestock products,United States of America,Bananas,1995,356.0,A,Official figure,165730.0,5900.0
Crops and livestock products,United States of America,Bananas,1996,388.0,A,Official figure,152062.0,5900.0
Crops and livestock products,United States of America,Bananas,1997,384.0,A,Official figure,161719.0,6210.0
Crops and livestock products,United States of America,Bananas,1998,575.0,A,Official figure,165652.0,9525.0
Crops and livestock products,United States of America,Bananas,1999,575.0,A,Official figure,194052.0,11158.0
Crops and livestock products,United States of America,Bananas,2000,591.0,A,Official figure,222572.0,13154.0
Crops and livestock products,United States of America,Bananas,2001,603.0,A,Official figure,210630.0,12701.0
Crops and livestock products,United States of America,Bananas,2002,538.0,A,Official figure,168587.0,9070.0
Crops and livestock products,United States of America,Bananas,2003,546.0,A,Official figure,187747.0,10251.0
Crops and livestock products,United States of America,Bananas,2004,405.0,A,Official figure,185926.0,7530.0
Crops and livestock products,United States of America,Bananas,2005,397.0,A,Official figure,238791.0,9480.0
Crops and livestock products,United States of America,Bananas,2006,405.0,A,Official figure,190370.0,7710.0
Crops and livestock products,United States of America,Bananas,2007,526.0,A,Official figure,220760.0,11612.0
Crops and livestock products,United States of America,Bananas,2008,445.0,A,Official figure,177303.0,7890.0
Crops and livestock products,United States of America,Bananas,2009,445.0,A,Official figure,188539.0,8390.0
Crops and livestock products,United States of America,Bananas,2010,445.0,A,Official figure,181438.0,8074.0
Crops and livestock products,United States of America,Bananas,2011,405.0,A,Official figure,194889.0,7893.0
Crops and livestock products,United States of America,Bananas,2013,364.0,A,Official figure,181923.0,6622.0
Crops and livestock products,United States of America,Bananas,2014,348.0,A,Official figure,187701.0,6532.0
Crops and livestock products,United States of America,Bananas,2015,336.0,A,Official figure,161994.0,5443.0
Crops and livestock products,United States of America,Bananas,2016,294.0,A,Official figure,115204.0,3387.0
